lat,lon,ano,mes,dias_sem_chuva_med,tipo_cobertura,is_galeria_or_water,fogo,log1p_dias,estacao_seca
-13.47585,-47.867,2026,6,13.0,1,1,1,2.6390573296152584,1
-11.54748,-45.29391,2025,9,83.0,2,0,1,4.430816798843313,1
-6.3121,-43.7804,2025,11,5.0,2,0,1,1.791759469228055,0
-12.8401,-50.504,2025,10,9.0,2,0,1,2.302585092994046,1
-4.66815,-43.21805,2026,7,5.0,2,0,1,1.791759469228055,1
-11.12745,-46.92461,2026,4,2.0,3,0,1,1.0986122886681098,0
-9.47370114123224,-47.81865165027869,2025,10,8.0,1,1,0,2.1972245773362196,1
-14.72653,-58.64925,2026,7,11.0,3,0,1,2.4849066497880004,1
-20.34665,-44.9358,2025,9,17.0,3,0,1,2.8903717578961645,1
-14.215470765960092,-55.98070107334383,2026,3,7.995706739317862,2,0,0,2.1967474345570244,0
-12.0947,-50.97581,2026,5,4.0,3,0,1,1.6094379124341003,1
-5.6783196449026825,-42.248256725428774,2025,11,4.0,1,1,0,1.6094379124341003,0
-22.20069816218224,-51.33682500392262,2026,4,3.0,0,1,0,1.3862943611198906,0
-10.503239534774979,-55.35958897422216,2025,9,31.0,0,1,0,3.4657359027997265,1
-12.860965055617816,-41.17831106122776,2026,6,24.0,2,0,0,3.2188758248682006,1
-20.545457477639623,-48.10170774680308,2026,7,6.676862399091675,2,0,0,2.0382109218987114,1
-10.50667,-50.48529,2026,7,39.0,2,0,1,3.6888794541139363,1
-2.7543945427424426,-43.62633799246561,2026,7,41.0,1,1,0,3.7376696182833684,1
-23.259039753258527,-44.08676846029286,2026,2,0.0,1,1,0,0.0,0
-11.2401,-46.7574,2026,5,4.0,3,0,1,1.6094379124341003,1
-10.993090500212796,-42.314613161264745,2026,3,0.0,1,1,0,0.0,0
-10.9209,-43.0384,2026,7,43.0,2,0,1,3.784189633918261,1
-9.722788418542633,-52.976287515174334,2026,7,3.0,0,1,0,1.3862943611198906,1
-6.611932785777437,-51.52830993657989,2026,7,1.644828347091634,2,0,0,0.9726061660745359,1
-12.0799,-50.275,2026,7,26.0,3,0,1,3.295836866004329,1
-12.65266,-46.7546,2025,12,4.0,2,0,1,1.6094379124341003,0
-14.2398,-58.2301,2026,6,0.0,2,0,1,0.0,1
-22.65123457733935,-46.53957117925904,2025,12,3.0,3,0,0,1.3862943611198906,0
-11.94809,-43.40474,2026,6,7.0,2,0,1,2.0794415416798357,1
-20.784813842925402,-51.335348718590026,2026,7,14.0,1,1,0,2.70805020110221,1
-13.189811969363717,-58.8014890814713,2026,5,7.0,2,0,0,2.0794415416798357,1
-11.22637,-46.26049,2026,7,16.0,2,0,1,2.833213344056216,1
-5.718006988304694,-55.72532600454795,2026,4,0.0,0,1,0,0.0,0
-16.51102,-43.13893,2026,5,24.0,2,0,1,3.2188758248682006,1
-7.87502,-43.56654,2025,9,35.0,2,0,1,3.58351893845611,1
-11.04327,-48.25602,2026,5,11.0,3,0,1,2.4849066497880004,1
-13.203233332614793,-47.98554346056154,2026,7,6.0,1,1,0,1.9459101490553132,1
-6.1853,-43.3257,2025,9,18.0,3,0,1,2.9444389791664403,1
-4.1609,-43.7432,2025,11,5.0,2,0,1,1.791759469228055,0
-10.77158,-47.89338,2025,10,4.0,2,0,1,1.6094379124341003,1
-16.09480393423896,-59.84387750061245,2025,12,7.0,2,0,0,2.0794415416798357,0
-3.18115,-42.44235,2025,9,33.0,2,0,1,3.5263605246161616,1
-3.407063725053579,-49.5292477251877,2025,10,12.0,3,0,0,2.5649493574615367,1
-11.6288,-58.9972,2026,6,5.0,3,0,1,1.791759469228055,1
-11.9493,-43.4019,2026,5,3.0,2,0,1,1.3862943611198906,1
-11.41033,-50.69337,2026,7,64.0,2,0,1,4.174387269895637,1
